

app  = aes
algo = multicut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=2 -ise-archi-max-output=1
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
DAG_size	, msecs		, it	, candidate_found
1		, 0.03092	, 3234	, 0
1		, 0.03119	, 3206	, 0
1		, 0.03143	, 3182	, 0
1		, 0.03153	, 3172	, 0
3		, 0.05198	, 1924	, 0
3		, 0.05211	, 1919	, 0
3		, 0.07273	, 1375	, 0
3		, 0.07299	, 1370	, 0
3		, 0.07342	, 1362	, 0
3		, 0.07386	, 1354	, 0
3		, 0.07402	, 1351	, 0
3		, 0.07440	, 1344	, 0
3		, 0.07440	, 1344	, 0
3		, 0.07474	, 1338	, 0
3		, 0.07485	, 1336	, 0
3		, 0.07508	, 1332	, 0
3		, 0.07536	, 1327	, 0
3		, 0.07541	, 1326	, 0
4		, 0.08032	, 1245	, 0
4		, 0.08110	, 1233	, 0
4		, 0.08123	, 1231	, 0
4		, 0.08190	, 1221	, 0
4		, 0.16077	, 622	, 0
5		, 0.08772	, 1140	, 0
5		, 0.17668	, 566	, 0
5		, 0.22727	, 440	, 0
5		, 0.22883	, 437	, 0
5		, 0.23148	, 432	, 0
5		, 0.26954	, 371	, 0
5		, 0.27701	, 361	, 0
5		, 0.27701	, 361	, 0
5		, 0.27778	, 360	, 0
5		, 0.27778	, 360	, 0
